Date,Description,Debit,Credit,Purchase Type
04/24/2024,Marshalls,77.91,0,Supplies/Clothing
08/08/2024,Max,18.39,0,Subscription
1/21/2024,Mcalisters,3.77,0,Food
3/27/2024,Mcalisters,41.05,0,Food
01/20/2024,Mcalisters,31.69,0,Food
2/4/2024,Mcdonalds,20.08,0,Food
5/26/2024,Mcdonalds,21.83,0,Food
3/16/2024,Mcdonalds,11.86,0,Food
05/12/2024,Mcdonalds,21.25,0,Food
04/16/2024,Mcdonalds,8.64,0,Food
06/21/2024,Mcdonalds,17.3,0,Food
01/03/2024,Amex Membership Fee,250,0,Subscription
06/06/2024,Michaels Stores,22.15,0,Supplies/Clothing
07/14/2024,Mighty Fine,31.84,0,Food
1/19/2024,Mighty Fine,32.08,0,Food
04/21/2024,Mighty Fine,43.64,0,Food
2/5/2024,Mister Car Wash,20,0,Groceries
01/16/2024,Mister Car Wash,34.99,0,Subscription
3/3/2024,Mister Car Wash,24,0,Auto
06/21/2024,Mister Car Wash,34.99,0,Subscription
08/16/2024,Mister Car Wash,34.99,0,Subscription
06/16/2024,Mister Car Wash,34.99,0,Subscription
07/16/2024,Mister Car Wash,34.99,0,Subscription
07/21/2024,Mister Car Wash,34.99,0,Subscription
04/21/2024,Mister Car Wash,34.99,0,Subscription
05/21/2024,Mister Car Wash,34.99,0,Subscription
02/16/2024,Mister Car Wash,34.99,0,Subscription
04/16/2024,Mister Car Wash,34.99,0,Subscription
05/16/2024,Mister Car Wash,34.99,0,Subscription
03/16/2024,Mister Car Wash,34.99,0,Subscription
08/21/2024,Mister Car Wash,34.99,0,Subscription
07/13/2024,Morning Sunshine,26.74,0,Food
07/08/2024,Morning Sunshine,22.91,0,Food
2/5/2024,Mozarts Coffee Roasters,15.31,0,Food
06/18/2024,Nationwide Pet Insurance,41.86,0,Insurance
08/18/2024,Nationwide Pet Insurance,41.86,0,Insurance
02/18/2024,Nationwide Pet Insurance,31.26,0,Insurance
04/18/2024,Nationwide Pet Insurance,31.36,0,Insurance
01/18/2024,Nationwide Pet Insurance,31.26,0,Insurance
03/18/2024,Nationwide Pet Insurance,31.26,0,Insurance
05/19/2024,Nationwide Pet Insurance,41.86,0,Insurance
07/18/2024,Nationwide Pet Insurance,41.86,0,Insurance
3/16/2024,Numinous Coffee Roast,4.43,0,Food
5/2/2024,Office Depot,25.97,0,Supplies/Clothing
04/10/2024,Original Pancake,39.37,0,Food
08/01/2024,P Terrys Burger,20.84,0,Food
8/15/2024,Pak Mail,40.12,0,Professional Service
02/12/2024,Peoples Pharmacy,279.34,0,Medical
3/30/2024,Petsmart,141.07,0,TMO
07/18/2024,Petsmart,162.71,0,TMO
07/19/2024,Petsmart,0,3.25,TMO
02/10/2024,Petsmart,175.57,0,TMO
2/5/2024,Phonatic,43.86,0,Food
01/01/2024,Pizzaworks,28.37,0,Food
6/6/2024,Pollo Campero,65.81,0,Food
06/12/2024,QT Gas,15.03,0,Gas
5/31/2024,Raising Canes,24.01,0,Food
3/25/2024,Raising Canes,22.28,0,Food
04/12/2024,Raising Canes,24.01,0,Food
03/10/2024,Raising Canes,20.55,0,Food
2/23/2024,Randalls,19.97,0,Groceries
08/01/2024,Rudys,2.7,0,Food
08/01/2024,Rudys,17.72,0,Food
08/09/2024,Salerno Cucina Itali,77.92,0,Food
04/13/2024,Salerno Cucina Itali,70.67,0,Food
1/28/2024,Salerno Cucina Itali,74.74,0,Food
02/16/2024,Salerno Cucina Itali,58.93,0,Food
01/03/2024,Salerno Cucina Itali,10,0,Food
01/02/2024,Salerno Cucina Itali,74.64,0,Food
5/9/2024,Savings,1700,0,Savings
5/6/2024,Savings,1700,0,Savings
2/24/2024,Savings,0,300,Revenue
2/22/2024,Savings,500,0,Savings
2/5/2024,Savings,1700,0,Savings
8/9/2024,Savings,1000,0,Savings
6/1/2024,Savings,3000,0,Savings
3/5/2024,Savings,1700,0,Savings
7/31/2024,Savings,2000,0,Savings
6/28/2024,Savings,2000,0,Savings
04/24/2024,Schlotzskys,21.93,0,Food
04/04/2024,Schlotzskys,5.94,0,Food
3/15/2024,Schlotzskys,28.53,0,Food
1/8/2024,Sephora,17.31,0,Self Care
1/26/2024,Shake Shack,30.9,0,Food
3/31/2024,Shake Shack,8.15,0,Food
03/17/2024,Shake Shack,33.59,0,Food
04/06/2024,Shake Shack,25.5,0,Food
5/26/2024,Short Stop,37.63,0,Food
05/03/2024,Smalls,0,30,TMO
05/03/2024,Smalls,208.44,0,TMO
03/08/2024,Smalls,181.44,0,TMO
06/21/2024,Smalls,181.44,0,TMO
08/09/2024,Smalls,181.44,0,TMO
01/25/2024,Smalls,181.44,0,TMO
6/1/2024,Snooze,45.79,0,Food
05/05/2024,Snooze,48.98,0,Food
2/1/2024,Snooze,50.92,0,Food
4/28/2024,Snooze,56.08,0,Food
7/11/2024,Southwest Theaters,9.47,0,Recreational
1/20/2024,Southwest Theaters,13.53,0,Recreational
8/17/2024,Southwest Theaters,64.64,0,Recreational
7/11/2024,Southwest Theaters,3.75,0,Recreational
8/18/2024,Southwest Theaters,43.3,0,Recreational
5/10/2024,Starbucks,6.36,0,Coffee
5/2/2024,Starbucks,20.46,0,Coffee
3/27/2024,Starbucks,6.44,0,Coffee
3/3/2024,Starbucks,15.26,0,Coffee
3/1/2024,Starbucks,16.58,0,Coffee
2/13/2024,Starbucks,29.82,0,Coffee
1/31/2024,Starbucks,12.18,0,Coffee
06/10/2024,Starbucks,8.44,0,Coffee
05/22/2024,Starbucks,7.12,0,Coffee
05/13/2024,Starbucks,5.57,0,Coffee
04/23/2024,Starbucks,14.34,0,Coffee
